Gene.ID,C,A,P,AP,Cluster
HORVU.MOREX.r3.2HG0167400,115,143,148,111,c4
HORVU.MOREX.r3.2HG0167460,710,1254,815,727,c2
HORVU.MOREX.r3.2HG0167990,226,286,72,42,c1
HORVU.MOREX.r3.2HG0168110,11721,10719,300,245,c1
HORVU.MOREX.r3.2HG0168120,2999,3037,197,232,c1
HORVU.MOREX.r3.2HG0168270,90,80,40,15,c1
HORVU.MOREX.r3.2HG0168330,253,282,278,219,c2
HORVU.MOREX.r3.2HG0168480,87,38,9,10,c1
HORVU.MOREX.r3.2HG0168560,109,137,170,192,c3
HORVU.MOREX.r3.2HG0168570,239,189,150,185,c3
HORVU.MOREX.r3.2HG0168580,111,142,118,83,c1
HORVU.MOREX.r3.2HG0168770,11,31,37,26,c1
HORVU.MOREX.r3.2HG0168830,35,54,14,9,c1
HORVU.MOREX.r3.2HG0169150,94,49,3,4,c1
HORVU.MOREX.r3.2HG0169250,204,222,300,210,c2
HORVU.MOREX.r3.2HG0169290,39,73,168,174,c5
HORVU.MOREX.r3.2HG0169350,202,245,176,177,c3
HORVU.MOREX.r3.2HG0169370,128,129,19,18,c1
HORVU.MOREX.r3.2HG0169420,1317,1205,246,194,c1
HORVU.MOREX.r3.2HG0169630,7,13,90,33,c4
HORVU.MOREX.r3.2HG0169670,144,89,17,15,c1
HORVU.MOREX.r3.2HG0169900,51,67,48,30,c1
HORVU.MOREX.r3.2HG0170030,12,19,150,90,c6
HORVU.MOREX.r3.2HG0170120,95,120,96,68,c1
HORVU.MOREX.r3.2HG0170230,397,711,843,648,c2
HORVU.MOREX.r3.2HG0170240,1646,1400,306,282,c1
HORVU.MOREX.r3.2HG0170550,878,722,149,147,c1
HORVU.MOREX.r3.2HG0170570,142,192,197,224,c5
HORVU.MOREX.r3.2HG0170580,789,1037,1491,1142,c2
HORVU.MOREX.r3.2HG0170690,796,499,98,98,c1
HORVU.MOREX.r3.2HG0170880,45,31,8,7,c1
HORVU.MOREX.r3.2HG0170900,2098,1530,119,127,c1
HORVU.MOREX.r3.2HG0171170,680,647,418,498,c5
HORVU.MOREX.r3.2HG0171580,84,54,7,24,c1
HORVU.MOREX.r3.2HG0171590,261,227,43,35,c1
HORVU.MOREX.r3.2HG0171680,525,1088,2817,2098,c2
HORVU.MOREX.r3.2HG0171730,103,85,17,20,c1
HORVU.MOREX.r3.2HG0171990,80,98,147,79,c4
HORVU.MOREX.r3.2HG0172010,139,186,333,300,c2
HORVU.MOREX.r3.2HG0172180,186,212,252,169,c6
HORVU.MOREX.r3.2HG0172200,543,572,42,28,c1
HORVU.MOREX.r3.2HG0172300,188,68,308,500,c5
HORVU.MOREX.r3.2HG0172400,8,9,157,141,c5
HORVU.MOREX.r3.2HG0172490,1288,1519,1161,755,c2
HORVU.MOREX.r3.2HG0172550,52,37,33,29,c1
HORVU.MOREX.r3.2HG0172690,22,47,4,7,c1
HORVU.MOREX.r3.2HG0172730,58,87,87,42,c4
HORVU.MOREX.r3.2HG0172990,1505,1805,2034,1324,c2
HORVU.MOREX.r3.2HG0173090,67,93,195,204,c5
HORVU.MOREX.r3.2HG0173120,47,67,309,263,c2
HORVU.MOREX.r3.2HG0173200,925,650,111,113,c1
HORVU.MOREX.r3.2HG0173210,859,554,112,122,c1
HORVU.MOREX.r3.2HG0173220,22224,13247,3037,3494,c1
HORVU.MOREX.r3.2HG0173240,177,169,28,23,c1
HORVU.MOREX.r3.2HG0173270,58,65,20,10,c1
HORVU.MOREX.r3.2HG0173290,640,479,128,127,c1
HORVU.MOREX.r3.2HG0173380,58,19,8,8,c1
HORVU.MOREX.r3.2HG0173530,1048,1121,946,739,c2
HORVU.MOREX.r3.2HG0173540,23.33333333,21.66666667,20,16,c7
HORVU.MOREX.r3.2HG0173680,182,249,406,248,c2
HORVU.MOREX.r3.2HG0174000,152,180,26,19,c1
HORVU.MOREX.r3.2HG0174050,66,60,85,87,c1
HORVU.MOREX.r3.2HG0174340,61,82,72,33,c1
HORVU.MOREX.r3.2HG0174360,47,99.33333333,19.66666667,19.33333333,c7
HORVU.MOREX.r3.2HG0174410,723,1177,124,36,c4
HORVU.MOREX.r3.2HG0174480,5,14,141,110,c6
HORVU.MOREX.r3.2HG0174500,9,29,209,136,c2
HORVU.MOREX.r3.2HG0174570,260,187,22,19,c1
HORVU.MOREX.r3.2HG0174770,132,119,29,41,c1
HORVU.MOREX.r3.2HG0175070,62,41,7,9,c1
HORVU.MOREX.r3.2HG0175180,24,20,37,51,c1
HORVU.MOREX.r3.2HG0175220,1257,1683,1198,883,c2
HORVU.MOREX.r3.2HG0175580,776,605,1083,1283,c5
HORVU.MOREX.r3.2HG0176000,549,541,495,400,c2
HORVU.MOREX.r3.2HG0176010,557,507,106,129,c1
HORVU.MOREX.r3.2HG0176250,13,67,19,33,c1
HORVU.MOREX.r3.2HG0176490,144,126,30,26,c1
HORVU.MOREX.r3.2HG0176570,226,220,64,39,c1
HORVU.MOREX.r3.2HG0176660,185,186,34,31,c1
HORVU.MOREX.r3.2HG0176710,267,236,82,49,c1
HORVU.MOREX.r3.2HG0176800,141,165,65,106,c1
HORVU.MOREX.r3.2HG0176810,274,365,465,349,c2
HORVU.MOREX.r3.2HG0176940,2029,859,2230,3669,c5
HORVU.MOREX.r3.2HG0176950,92,68,50,62,c1
HORVU.MOREX.r3.2HG0176970,661,861,589,535,c2
HORVU.MOREX.r3.2HG0176990,1346,1700,1240,1024,c2
HORVU.MOREX.r3.2HG0177120,36,46,21,30,c1
HORVU.MOREX.r3.2HG0177310,69,35,17,11,c1
HORVU.MOREX.r3.2HG0177450,53,46,10,11,c1
HORVU.MOREX.r3.2HG0177520,88,116,108,68,c4
HORVU.MOREX.r3.2HG0177550,4003,3377,818,695,c1
HORVU.MOREX.r3.2HG0177600,24,56,73,76,c1
HORVU.MOREX.r3.2HG0177640,2227,2182,256,210,c1
HORVU.MOREX.r3.2HG0177660,146,297,578,582,c5
HORVU.MOREX.r3.2HG0177740,278,607,814,565,c2
HORVU.MOREX.r3.2HG0177830,254,255,439,357,c2
HORVU.MOREX.r3.2HG0178010,101,54,163,106,c6
HORVU.MOREX.r3.2HG0178020,2274,3648,5703,4816,c2
HORVU.MOREX.r3.2HG0178050,232,221,22,28,c1
HORVU.MOREX.r3.2HG0178080,280,102,28,34,c1
HORVU.MOREX.r3.2HG0178460,39,57,35,44,c1
HORVU.MOREX.r3.2HG0178520,858,1121,1121,991,c2
HORVU.MOREX.r3.2HG0178560,280,278,52,58,c1
HORVU.MOREX.r3.2HG0178580,3543,3532,582,864,c1
HORVU.MOREX.r3.2HG0178590,53,38,7,9,c1
HORVU.MOREX.r3.2HG0178700,14,8,58,77,c1
HORVU.MOREX.r3.2HG0178740,40,38,13,6,c1
HORVU.MOREX.r3.2HG0178930,855,960,1168,809,c2
HORVU.MOREX.r3.2HG0179560,96,73,68,61,c1
HORVU.MOREX.r3.2HG0179650,430,608,572,333,c2
HORVU.MOREX.r3.2HG0180020,137,143,30,44,c1
HORVU.MOREX.r3.2HG0180060,119,89,17,18,c1
HORVU.MOREX.r3.2HG0180110,48,50,74,64,c1
HORVU.MOREX.r3.2HG0180240,46,37,3,5,c1
HORVU.MOREX.r3.2HG0180320,203,168,56,31,c1
HORVU.MOREX.r3.2HG0180580,90,109,15,16,c1
HORVU.MOREX.r3.2HG0180680,149,173,216,204,c5
HORVU.MOREX.r3.2HG0180730,447,452,102,78,c1
HORVU.MOREX.r3.2HG0180750,126,115,113,75,c1
HORVU.MOREX.r3.2HG0180950,103,128,44,22,c1
HORVU.MOREX.r3.2HG0181160,852,604,1177,2217,c5
HORVU.MOREX.r3.2HG0181170,16,8,37,49,c1
HORVU.MOREX.r3.2HG0181410,116,190,73,93,c1
HORVU.MOREX.r3.2HG0181510,361,257.6666667,279.6666667,192.6666667,c7
HORVU.MOREX.r3.2HG0181540,116,423,1650,1061,c2
HORVU.MOREX.r3.2HG0181610,361,305,100,67,c1
HORVU.MOREX.r3.2HG0181700,910,1084,1914,2092,c5
HORVU.MOREX.r3.2HG0181840,593,870,702,772,c5
HORVU.MOREX.r3.2HG0181900,226,224,145,185,c3
HORVU.MOREX.r3.2HG0182010,167,416,2260,1231,c2
HORVU.MOREX.r3.2HG0182020,102,218,556,268,c2
HORVU.MOREX.r3.2HG0182080,12,28,54,29,c1
HORVU.MOREX.r3.2HG0182090,23,44,149,70,c4
HORVU.MOREX.r3.2HG0182210,208,107,16,14,c1
HORVU.MOREX.r3.2HG0182380,518.3333333,915.3333333,142,212,c7
HORVU.MOREX.r3.2HG0182390,82,78,30,15,c1
HORVU.MOREX.r3.2HG0182400,798,1073,2612,2488,c5
HORVU.MOREX.r3.2HG0182620,176,199,60,34,c1
HORVU.MOREX.r3.2HG0182690,31,26,20,24,c1
HORVU.MOREX.r3.2HG0182730,58,112,423,329,c2
HORVU.MOREX.r3.2HG0182810,100,137,107,56,c4
HORVU.MOREX.r3.2HG0182920,154,78,15,11,c1
HORVU.MOREX.r3.2HG0183620,481,480,95,88,c1
HORVU.MOREX.r3.2HG0183740,41,96,438,302,c2
HORVU.MOREX.r3.2HG0183830,474,553,97,94,c1
HORVU.MOREX.r3.2HG0183890,494,657,606,472,c2
HORVU.MOREX.r3.2HG0183930,24,51,46,26,c1
HORVU.MOREX.r3.2HG0183940,23,53,43,36,c1
HORVU.MOREX.r3.2HG0183990,177,291,245,155,c6
HORVU.MOREX.r3.2HG0184180,6780,6300,1105,1039,c1
HORVU.MOREX.r3.2HG0184260,555,433,43,57,c1
HORVU.MOREX.r3.2HG0184360,462,260,69,85,c1
HORVU.MOREX.r3.2HG0184420,202,207,217,185,c2
HORVU.MOREX.r3.2HG0184450,61,77,35,51,c1
HORVU.MOREX.r3.2HG0184620,51,75,90,58,c1
HORVU.MOREX.r3.2HG0184630,3063,2926,485,328,c1
HORVU.MOREX.r3.2HG0184670,94,67,16,9,c1
HORVU.MOREX.r3.2HG0184710,1119,932,121,157,c1
HORVU.MOREX.r3.2HG0184930,14,29,72,63,c1
HORVU.MOREX.r3.2HG0185050,48,47,49,53,c1
HORVU.MOREX.r3.2HG0185130,29,38,27,27,c1
HORVU.MOREX.r3.2HG0185140,164,92,13,7,c1
HORVU.MOREX.r3.2HG0185320,31,33,35,18,c1
HORVU.MOREX.r3.2HG0185380,419,601,835,703,c2
HORVU.MOREX.r3.2HG0185400,83,80,17,14,c1
HORVU.MOREX.r3.2HG0185460,145,241.3333333,46.33333333,57.33333333,c7
HORVU.MOREX.r3.2HG0185490,87,106,26,16,c1
HORVU.MOREX.r3.2HG0185500,342,229,50,46,c1
HORVU.MOREX.r3.2HG0185660,176,163,34,26,c1
HORVU.MOREX.r3.2HG0185880,649,620,92,119,c1
HORVU.MOREX.r3.2HG0185890,523,422,87,84,c1
HORVU.MOREX.r3.2HG0186060,20,34,43,25,c1
HORVU.MOREX.r3.2HG0186080,45,114,38,10,c1
HORVU.MOREX.r3.2HG0186150,1303,1587,3912,3225,c2
HORVU.MOREX.r3.2HG0186240,243,244,252,271,c5
HORVU.MOREX.r3.2HG0186310,276,610,263,290,c3
HORVU.MOREX.r3.2HG0186340,34,25,15,23,c1
HORVU.MOREX.r3.2HG0186370,155,198,42,34,c1
HORVU.MOREX.r3.2HG0186410,571,725,797,864,c5
HORVU.MOREX.r3.2HG0186470,441,422,78,80,c1
HORVU.MOREX.r3.2HG0186480,5,16,299,224,c2
HORVU.MOREX.r3.2HG0186540,122,267,314,397,c5
HORVU.MOREX.r3.2HG0186680,9,50,2,2,c1
HORVU.MOREX.r3.2HG0186870,167,99,239,220,c5
HORVU.MOREX.r3.2HG0186970,240,415,192,210,c3
HORVU.MOREX.r3.2HG0186980,17,20,23,29,c1
HORVU.MOREX.r3.2HG0187000,10,47,71,103,c1
HORVU.MOREX.r3.2HG0187050,23,177,438,272,c2
HORVU.MOREX.r3.2HG0187130,40,34,7,8,c1
HORVU.MOREX.r3.2HG0187360,17,26,28,22,c1
HORVU.MOREX.r3.2HG0187450,480,671,558,365,c2
HORVU.MOREX.r3.2HG0187610,53,66,75,49,c1
HORVU.MOREX.r3.2HG0187620,71,46,9,11,c1
HORVU.MOREX.r3.2HG0187860,61,83,9,13,c1
HORVU.MOREX.r3.2HG0187890,217,181,32,27,c1
HORVU.MOREX.r3.2HG0187930,29,36,88,62,c1
HORVU.MOREX.r3.2HG0187940,250,171,174,149,c1
HORVU.MOREX.r3.2HG0187990,37,27,28,27,c1
HORVU.MOREX.r3.2HG0188110,63,67,15,7,c1
HORVU.MOREX.r3.2HG0188200,134,143,27,25,c1
HORVU.MOREX.r3.2HG0188640,226,198,22,40,c1
HORVU.MOREX.r3.2HG0188750,114,66,8,12,c1
HORVU.MOREX.r3.2HG0188780,223,260,551,524,c5
HORVU.MOREX.r3.2HG0188790,267,291,236,279,c5
HORVU.MOREX.r3.2HG0188860,304,334,551,414,c2
HORVU.MOREX.r3.2HG0189010,537,666,380,413,c5
HORVU.MOREX.r3.2HG0189270,65,48,8,8,c1
HORVU.MOREX.r3.2HG0189360,58,54,12,10,c1
HORVU.MOREX.r3.2HG0189740,197.6666667,164,146.6666667,117,c7
HORVU.MOREX.r3.2HG0189830,37,48,13,8,c1
HORVU.MOREX.r3.2HG0189960,298,275,59,51,c1
HORVU.MOREX.r3.2HG0190040,954,1442,826,919,c5
HORVU.MOREX.r3.2HG0190260,291,382,352,234,c2
HORVU.MOREX.r3.2HG0190290,103,78,197,132,c6
HORVU.MOREX.r3.2HG0190470,363,555,360,239,c6
HORVU.MOREX.r3.2HG0190550,35,46.33333333,9.666666667,9.666666667,c7
HORVU.MOREX.r3.2HG0190560,25,42,68,48,c1
HORVU.MOREX.r3.2HG0190570,426,362,47,46,c1
HORVU.MOREX.r3.2HG0190600,6,27,80,72,c1
HORVU.MOREX.r3.2HG0190650,145,140,22,16,c1
HORVU.MOREX.r3.2HG0190670,141,66,74,110,c1
HORVU.MOREX.r3.2HG0190680,1043,798,703,671,c5
HORVU.MOREX.r3.2HG0190730,669,657,108,83,c1
HORVU.MOREX.r3.2HG0190890,24,26,50,56,c1
HORVU.MOREX.r3.2HG0191210,774,649,137,143,c1
HORVU.MOREX.r3.2HG0191220,203,186,52,37,c1
HORVU.MOREX.r3.2HG0191230,161,159,33,27,c1
HORVU.MOREX.r3.2HG0191260,344,175,13,6,c1
HORVU.MOREX.r3.2HG0191380,72,47,5,19,c1
HORVU.MOREX.r3.2HG0191440,738,926,859,479,c2
HORVU.MOREX.r3.2HG0191460,31,80,37,22,c1
HORVU.MOREX.r3.2HG0191470,347,331,73,78,c1
HORVU.MOREX.r3.2HG0191770,381,729,1134,1113,c5
HORVU.MOREX.r3.2HG0191960,115,177,476,302,c2
HORVU.MOREX.r3.2HG0192050,114,50,226,566,c5
HORVU.MOREX.r3.2HG0192190,54,60,17,9,c1
HORVU.MOREX.r3.2HG0192220,62,62,83,39,c4
HORVU.MOREX.r3.2HG0192250,21,15,27,24,c1
HORVU.MOREX.r3.2HG0192270,127,223,335,190,c2
HORVU.MOREX.r3.2HG0192400,208,273,331,211,c2
HORVU.MOREX.r3.2HG0192540,217,179,46,34,c1
HORVU.MOREX.r3.2HG0192620,287,338,69,53,c1
HORVU.MOREX.r3.2HG0192860,740,1173,1217,1102,c2
HORVU.MOREX.r3.2HG0192890,166,71,530,1365,c5
HORVU.MOREX.r3.2HG0192970,14,80,32,18,c1
HORVU.MOREX.r3.2HG0193010,604,469,122,110,c1
HORVU.MOREX.r3.2HG0193030,128,111,22,23,c1
HORVU.MOREX.r3.2HG0193060,1195,1626,338,369.3333333,c7
HORVU.MOREX.r3.2HG0193390,579,277,73,68,c1
HORVU.MOREX.r3.2HG0193650,205,593,1851,1351,c2
HORVU.MOREX.r3.2HG0193660,202,320,1057,1062,c5
HORVU.MOREX.r3.2HG0193690,589,936,805,820,c5
HORVU.MOREX.r3.2HG0193770,72,108,146,120,c1
HORVU.MOREX.r3.2HG0193790,696,631,53,15,c1
HORVU.MOREX.r3.2HG0193820,424,334,16,8,c1
HORVU.MOREX.r3.2HG0193840,162,110,22,10,c1
HORVU.MOREX.r3.2HG0194210,86,104,72,80,c1
HORVU.MOREX.r3.2HG0194220,299,273,61,67,c1
HORVU.MOREX.r3.2HG0194230,176,126,39,45,c1
HORVU.MOREX.r3.2HG0194350,29,84,2781,1783,c2
HORVU.MOREX.r3.2HG0194600,50,70,52,31,c1
HORVU.MOREX.r3.2HG0194640,25,20,12,20,c1
HORVU.MOREX.r3.2HG0194650,3680,3212,1559,2311,c5
HORVU.MOREX.r3.2HG0194700,7691,6549,701,762,c1
HORVU.MOREX.r3.2HG0194750,24,36,39,49,c1
HORVU.MOREX.r3.2HG0194770,388,138,2,5,c1
HORVU.MOREX.r3.2HG0194790,941,875,914,610,c2
HORVU.MOREX.r3.2HG0194820,57,37,10,11,c1
HORVU.MOREX.r3.2HG0195080,607,608,128,85,c1
HORVU.MOREX.r3.2HG0195290,278,498,640,508,c2
HORVU.MOREX.r3.2HG0195300,21,13,18,20,c1
HORVU.MOREX.r3.2HG0195500,20,58,3,5,c1
HORVU.MOREX.r3.2HG0195550,46,55,0,4,c1
HORVU.MOREX.r3.2HG0195580,924,1247,1124,794,c2
HORVU.MOREX.r3.2HG0195600,39,20,8,6,c1
HORVU.MOREX.r3.2HG0195610,0,0,16,41,c1
HORVU.MOREX.r3.2HG0195650,50,90,72,64,c1
HORVU.MOREX.r3.2HG0195690,110,157,258,212,c2
HORVU.MOREX.r3.2HG0195930,527,550,404,411,c5
HORVU.MOREX.r3.2HG0196120,1438,2210,1847,1320,c2
HORVU.MOREX.r3.2HG0196150,173,149,36,34,c1
HORVU.MOREX.r3.2HG0196250,306,284,61,84,c1
HORVU.MOREX.r3.2HG0196290,428,352,94,98,c1
HORVU.MOREX.r3.2HG0196300,234,225,61,40,c1
HORVU.MOREX.r3.2HG0196340,103,85,30,12,c1
HORVU.MOREX.r3.2HG0196370,483,301,88,95,c1
HORVU.MOREX.r3.2HG0196380,90,88,24,15,c1
HORVU.MOREX.r3.2HG0196410,58,97,4,3,c1
HORVU.MOREX.r3.2HG0196420,34.66666667,80,17.66666667,19,c7
HORVU.MOREX.r3.2HG0196460,259,184,26,16,c1
HORVU.MOREX.r3.2HG0196470,787,425,86,77,c1
HORVU.MOREX.r3.2HG0196480,215,116,17,21,c1
HORVU.MOREX.r3.2HG0196540,441,1210,2164,2103,c5
HORVU.MOREX.r3.2HG0196660,362,313,38,47,c1
HORVU.MOREX.r3.2HG0196990,53,48,91,140,c3
HORVU.MOREX.r3.2HG0197060,499,301,73,63,c1
HORVU.MOREX.r3.2HG0197130,211,163,40,44,c1
HORVU.MOREX.r3.2HG0197190,240,100,73,67,c1
HORVU.MOREX.r3.2HG0197270,222,268,368,354,c5
HORVU.MOREX.r3.2HG0197290,75,78,15,12,c1
HORVU.MOREX.r3.2HG0197340,151,167,18,26,c1
HORVU.MOREX.r3.2HG0197410,27,69,60,41,c1
HORVU.MOREX.r3.2HG0197610,735,945,245,181,c4
HORVU.MOREX.r3.2HG0198030,110,93,21,18,c1
HORVU.MOREX.r3.2HG0198070,629,443,98,87,c1
HORVU.MOREX.r3.2HG0198320,20,33,75,67,c1
HORVU.MOREX.r3.2HG0198440,78,104,129,94,c4
HORVU.MOREX.r3.2HG0198460,17,14,27,20,c1
HORVU.MOREX.r3.2HG0198470,497,937,539,407,c2
HORVU.MOREX.r3.2HG0198490,13,44,51,33,c1
HORVU.MOREX.r3.2HG0198510,56,72,8,4,c1
HORVU.MOREX.r3.2HG0198540,18,67,195,121,c6
HORVU.MOREX.r3.2HG0198630,119,94,22,20,c1
HORVU.MOREX.r3.2HG0198730,39,41,7,4,c1
HORVU.MOREX.r3.2HG0198780,11,30,60,16,c4
HORVU.MOREX.r3.2HG0198940,311.3333333,385.3333333,80.66666667,113.3333333,c7
HORVU.MOREX.r3.2HG0199060,68,85,67,45,c1
HORVU.MOREX.r3.2HG0199120,70,50,16,12,c1
HORVU.MOREX.r3.2HG0199300,205,202,39,28,c1
HORVU.MOREX.r3.2HG0199330,78,72,19,14,c1
HORVU.MOREX.r3.2HG0199420,127,114,11,8,c1
HORVU.MOREX.r3.2HG0199540,78,77,18,11,c1
HORVU.MOREX.r3.2HG0199560,297,575,215,374,c3
HORVU.MOREX.r3.2HG0199600,120,120,13,16,c1
HORVU.MOREX.r3.2HG0199610,111,63,83,89,c1
HORVU.MOREX.r3.2HG0199690,16,14,25,33,c1
HORVU.MOREX.r3.2HG0199720,164,212,237,108,c6
HORVU.MOREX.r3.2HG0200330,128,124,14,10,c1
HORVU.MOREX.r3.2HG0200340,11,22,110,89,c1
HORVU.MOREX.r3.2HG0200390,563,913,2696,2596,c5
HORVU.MOREX.r3.2HG0200560,4342,4140,1412,817,c4
HORVU.MOREX.r3.2HG0200630,651,649,220,121,c4
HORVU.MOREX.r3.2HG0200920,29,87,578,454,c2
HORVU.MOREX.r3.2HG0201190,96,67,102,163,c3
HORVU.MOREX.r3.2HG0201390,5493,4426,5597,3396,c2
HORVU.MOREX.r3.2HG0201400,1333.333333,1062.666667,1149.333333,520.3333333,c7
HORVU.MOREX.r3.2HG0201850,48,42,3,1,c1
HORVU.MOREX.r3.2HG0201920,134,130,29,25,c1
HORVU.MOREX.r3.2HG0202280,173,182,225,220,c5
HORVU.MOREX.r3.2HG0202350,5944,2977,496,371,c1
HORVU.MOREX.r3.2HG0202460,378,400,384,341,c2
HORVU.MOREX.r3.2HG0202550,956,582,52,99,c1
HORVU.MOREX.r3.2HG0202590,1701,1297,202,186,c1
HORVU.MOREX.r3.2HG0202640,250,218,337,432,c5
HORVU.MOREX.r3.2HG0202810,484,735,448,442,c5
HORVU.MOREX.r3.2HG0202880,1107,1952,1374,1260,c2
HORVU.MOREX.r3.2HG0202910,2395,1901,476,518,c1
HORVU.MOREX.r3.2HG0203250,10,10,59,21,c1
HORVU.MOREX.r3.2HG0203310,8087,10849,1570,1135,c4
HORVU.MOREX.r3.2HG0203380,370,255,75,93,c1
HORVU.MOREX.r3.2HG0203620,4022,3253,3944,7007,c5
HORVU.MOREX.r3.2HG0203800,1145,1485,649,1258,c5
HORVU.MOREX.r3.2HG0204020,866,935,151,128,c1
HORVU.MOREX.r3.2HG0204030,70,45,11,11,c1
HORVU.MOREX.r3.2HG0204050,12,13,34,14,c1
HORVU.MOREX.r3.2HG0204100,105,186,225,191,c2
HORVU.MOREX.r3.2HG0204160,39,47,19,7,c1
HORVU.MOREX.r3.2HG0204250,13033,15199,810,416,c1
HORVU.MOREX.r3.2HG0204260,1961,2007,117,76,c1
HORVU.MOREX.r3.2HG0204350,136,156,27,30,c1
HORVU.MOREX.r3.2HG0204560,57,86,6,7,c1
HORVU.MOREX.r3.2HG0204570,641,892,509,503,c5
HORVU.MOREX.r3.2HG0204690,35,108,48,44,c1
HORVU.MOREX.r3.2HG0204720,72,48,38,80,c1
HORVU.MOREX.r3.2HG0204750,156,147,26,31,c1
HORVU.MOREX.r3.2HG0204770,614,440,121,141,c1
HORVU.MOREX.r3.2HG0204960,101,106,30,19,c1
HORVU.MOREX.r3.2HG0204970,74,136,410,244,c2
HORVU.MOREX.r3.2HG0205260,11,41,138,64,c4
HORVU.MOREX.r3.2HG0205290,10,22,176,78,c6
HORVU.MOREX.r3.2HG0205310,19,35,79,33,c4
HORVU.MOREX.r3.2HG0205390,90,73,140,105,c4
HORVU.MOREX.r3.2HG0205400,416,378,63,67,c1
HORVU.MOREX.r3.2HG0205500,1311,1099,183,177,c1
HORVU.MOREX.r3.2HG0205740,29,25,18,23,c1
HORVU.MOREX.r3.2HG0205760,399,351,84,72,c1
HORVU.MOREX.r3.2HG0205880,99,93,22,17,c1
HORVU.MOREX.r3.2HG0206030,117,40,64,89,c1
HORVU.MOREX.r3.2HG0206470,133,153,208,185,c5
HORVU.MOREX.r3.2HG0206550,155,78,22,22,c1
HORVU.MOREX.r3.2HG0206560,472,408,61,65,c1
HORVU.MOREX.r3.2HG0206570,828,691,107,80,c1
HORVU.MOREX.r3.2HG0206600,4,9,34,43,c1
HORVU.MOREX.r3.2HG0206630,61,22,47,40,c1
HORVU.MOREX.r3.2HG0206690,112,107,21,20,c1
HORVU.MOREX.r3.2HG0206720,26,36,23,29,c1
HORVU.MOREX.r3.2HG0206860,3409,4276,616,574,c1
HORVU.MOREX.r3.2HG0206920,378,353,46,42,c1
HORVU.MOREX.r3.2HG0207030,132,253,32,85,c1
HORVU.MOREX.r3.2HG0207110,43,28,10,6,c1
HORVU.MOREX.r3.2HG0207200,457,353,7,7,c1
HORVU.MOREX.r3.2HG0207380,93,93,23,16,c1
HORVU.MOREX.r3.2HG0207420,201,139,28,36,c1
HORVU.MOREX.r3.2HG0207630,203,236,204,147,c4
HORVU.MOREX.r3.2HG0207660,778,1068,2012,1688,c2
HORVU.MOREX.r3.2HG0207700,33,64,99,47,c4
HORVU.MOREX.r3.2HG0207790,30,60,33,30,c1
HORVU.MOREX.r3.2HG0207920,23,30,39,36,c1
HORVU.MOREX.r3.2HG0207980,106,153,111,86,c1
HORVU.MOREX.r3.2HG0208050,49,60,43,27,c1
HORVU.MOREX.r3.2HG0208110,25,129,416,319,c2
HORVU.MOREX.r3.2HG0208170,211,140,6,8,c1
HORVU.MOREX.r3.2HG0208210,47,56,8,4,c1
HORVU.MOREX.r3.2HG0208220,89,99,17,12,c1
HORVU.MOREX.r3.2HG0208520,574,871,848,380,c2
HORVU.MOREX.r3.2HG0208650,127,279,236,131,c6
HORVU.MOREX.r3.2HG0208660,855,1801,1101,708,c2
HORVU.MOREX.r3.2HG0208670,249,360,252,171,c6
HORVU.MOREX.r3.2HG0208680,396,599,180,111,c4
HORVU.MOREX.r3.2HG0208700,418,948,1090,1037,c5
HORVU.MOREX.r3.2HG0208820,66.66666667,84.66666667,15,17.66666667,c7
HORVU.MOREX.r3.2HG0208960,86,110,29,21,c1
HORVU.MOREX.r3.2HG0209020,1317,1558,1653,1504,c2
HORVU.MOREX.r3.2HG0209150,144,155,33,30,c1
HORVU.MOREX.r3.2HG0209190,212,157,31,32,c1
HORVU.MOREX.r3.2HG0209220,485,265,5,6,c1
HORVU.MOREX.r3.2HG0209260,234,108,6,1,c1
HORVU.MOREX.r3.2HG0209330,274,317,267,225,c2
HORVU.MOREX.r3.2HG0209440,11,35,40,32,c1
HORVU.MOREX.r3.2HG0209510,12,13,87,42,c4
HORVU.MOREX.r3.2HG0209540,44,82,387,415,c5
HORVU.MOREX.r3.2HG0209560,11,16,280,248,c2
HORVU.MOREX.r3.2HG0209690,378,328,237,250,c3
HORVU.MOREX.r3.2HG0209950,59,105,352,358,c5
HORVU.MOREX.r3.2HG0210020,53,51,10,13,c1
HORVU.MOREX.r3.2HG0210210,99,106,18,16,c1
HORVU.MOREX.r3.2HG0210290,205,138,30,34,c1
HORVU.MOREX.r3.2HG0210480,3620,4024,785,834,c1
HORVU.MOREX.r3.2HG0210780,414,214,68,68,c1
HORVU.MOREX.r3.2HG0210850,40,51,6,4,c1
HORVU.MOREX.r3.2HG0211000,14,33,91,73,c1
HORVU.MOREX.r3.2HG0211040,103,247,684,617,c2
HORVU.MOREX.r3.2HG0211090,150,142,26,27,c1
HORVU.MOREX.r3.2HG0211190,393,430,360,264,c2
HORVU.MOREX.r3.2HG0211310,22,44,69,46,c1
HORVU.MOREX.r3.2HG0211440,25,11,26,11,c1
HORVU.MOREX.r3.2HG0211450,49,79,25,14,c1
HORVU.MOREX.r3.2HG0211670,242,299,257,225,c2
HORVU.MOREX.r3.2HG0211750,213,218,18,14,c1
HORVU.MOREX.r3.2HG0211990,65,121,201,114,c6
HORVU.MOREX.r3.2HG0212050,42,132,160,147,c3
